text,label
بحب اتفرج جدا علي حفلات الافتتاح بتاع البطولات دي مستني حفله الاوليمبياد من الصبح والله 😂  OpeningCeremony  Rio2016,joy
: الي قواتنا الامنيه وحشدنا المقدس :   قلوبنا معكم وعين الله ترعاكم  ردا علي اكاذيبكم,sympathy
احببتُها والله حتّي انني احببتُ من حبي لها .. مُغتابها احببته   وهو الكريهُ  لانه نقّي صحيفتها وزاد ثوابَها  .💘  غزل  فصحي,love
يعني انتهت سوريا وصارت دويلات  هههههههه هههههههههه هههههههههه  ياسلاااااااااااااام  . ولين الان لم اسمع اي  تنديد عربي  يا سلاااااااااااام,sadness
86: كان الله في عون اخواننا في  يوم الجمعه  ادب الشوارع,sympathy
افشوا  الحُب بينكم ، قبل ان تصبح قلوبكم ليست لكم ~ 🍂💜 اقتباسات من كتاب   اخافُ عليكِ   فهد العوده ،,love
وكيف قبل التوقيع علي المبادره الخليجيه وتسليم السلطه لهادي وهو يعلم ان هادي متحالف مع القاعده ويسعي لتدمير الجيش 2️⃣,surprise
i love about my job i still feel dissatisfied,anger
ريجاءاً اني خايفه ع مستقبل بتي لازم افكر واكتشف وذا انسان يناسبها وسيم ورزه وفله,fear
ive just watched the above video for the first time and feel a bit bitchy for doing so but here are some of my thoughts on her outfits,anger
i feel stressed frequently,anger
فوطه يوسف دنتي مسخره ???????????? نطالب بمحاسبه روضه اليوسف  كلنا مع محال   كلنا ضد مريم بيفور64,anger
في الوقت الذي ننادي فيه بسحب الجنسيه عن الخونها مجلس الاحزان عاوز يبيع مصر لخونه جد ورسمي يا عب عال اتلموا مش...,anger
سعيد بهري الاوليمبياد ع فكره ... حلو والناس جميله في متابعتها.,joy
i honestly never expected to feel so vulnerable,fear
يالا بقوا جزيرتين وعلم في الاوليمبياد...ده النمو الوحيد اللي شايفه لسعادتك,none
: لا معايير تربطنا بالحب وتجعل ذلگ الحب اگثر برگه ّ ان تعيشه دون ان تُدرگ انگ وقعت في شباگه  ثغرشتاء ❄️🍃  قروب سفير للدعم ht…,love
جمهور الشرقيه دائما يشرف,joy
i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies,anger
im feeling less hateful of fandom,anger
كل يوم هحلم بنغس الاشخاص 💔 هو انا حالتي بقت صعبه للدرجه دي !!!😕,surprise
رفع اثقال سيدات اوزان واحجام غريبه شغاله دلوقتي في الاوليمبياد اتفرجوا لينا واحده بتلعب اسمها شيماء 😂😂😂,none
وراك انت ماخذيتها سود الله وجهك عز مانت برجال,anger
i feel like i have a little more control and can help sweet pea better if i know what is ahead,joy
يَا مرايَتٌيَ .. قلُبْيَ تٌعبْ عنْجٍدِ منْ گلُ الُقصٍصٍ,sadness
انا هحضر المحاضره بمنظر امي دا ؟؟,surprise
i feel greedy about my work img height src http forums,anger
متعاطف معكم,sympathy
i don t want people to feel offended by that request it could be viewed as too forward,anger
:  اوقفوا الاختفاء القسري   ﻋﻼﺀ ﺍﻟﺴﻴﺪ ﻣﺤﻤﺪ . خطفوه ليه ؟؟؟ علاء مش ارهابي,sadness
مُش معقول اني اعيش فتره شبابي مع ناس تقرف زيّ كذا؟؟,surprise
i just feel so good inside when i see people walking away with their own handmade pieces of,joy
Madaniah: سيارات اغاثه مرسله لـ حلب تم قصفها من الاحتلال الروسي وحرقها بالكامل.,anger
im feeling much more optimistic than i was just before coming here or en route here,joy
احمد حلمي عسل عسل عسل عسل 600 عسل,joy
